SHIP_ID,IMO,MMSI,CALLSIGN,SHIPNAME,TYPE_COLOR,LAST_POS,TIMEZONE,CODE2,COUNTRY,COUNT_PHOTOS,NEXT_PORT_NAME,NEXT_PORT_COUNTRY,NEXT_PORT_ID,ETA,DESTINATION,CURRENT_PORT_COUNTRY,TYPE_SUMMARY,COURSE,LON,LAT,INLAND_ENI,STATUS_NAME,YOB,DWT,CURRENT_PORT_UNLOCODE,AREA_CODE,ETA_OFFSET,SPEED,DRAUGHT,LENGTH,WIDTH,STATUS,ETA_UPDATED,DISTANCE_TO_GO,AREA_NAME,PORT_ID,CURRENT_PORT,COLLECTION_NAME,CTA_ROUTE_FORECAST
3786839,9661792,319094900,,DILBAR,9,1685179359,1,KY,Cayman Is,196,OLBIA,IT,243,1685178480.0,OLBIA,,Pleasure Craft,184,10.47828,52.33827,0,Stopped,2016,1230,,"INLEU - Inland, Europe",2,0.0,6.0,156.0,24.0,ACTIVE,,0,"Inland, Europe",,,-,false
1538481,0,270257000,OL6517,RIO2,3,1688199721,1,CZ,Czech Republic,33,MAGDEBURG,DE,18912,-2208988800.0,MAGDEBURG,,Tug,91,11.68133,52.18362,09548032,Moored,1987,,,"INLEU - Inland, Europe",1,0.0,1.5,134.1,10.5,ACTIVE,,0,"Inland, Europe",,,-,false
5429,9381706,230613000,OJOF,ALPPILA,7,1688200252,2,FI,Finland,181,BREMEN,DE,467,1687816800.0,NL RTM>DE BRE,DE,Cargo,242,8.686276,53.1233,,Moored,2011,20499,DEBRE,"INLEU - Inland, Europe",2,0.0,9.8,155.4,25.2,ACTIVE,,0,North Sea,467,BREMEN,-,false
130462,0,211210380,DRFC,GERMAN WARSHIP M1058,3,1675153681,1,DE,Germany,71,HEILIGENHAFEN,DE,773,-2208988800.0,,DE,Special Craft,4,8.620385,53.1643,,Stopped,1998,,DELEW,"INLEU - Inland, Europe",1,0.0,3.0,55.0,10.0,ACTIVE,,0,North Sea,468,LEMWERDER,-,false
379015,9030498,357544000,HO6974,VICTRESS,7,1688200247,2,PA,Panama,137,RENI,UA,17216,1687928400.0,UARNI,,Cargo,268,28.31231,45.36044,,At Anchor,1992,2386,,"INLEU - Inland, Europe",3,0.0,4.3,74.9,11.4,ACTIVE,2023-06-30 12:23:00,0,"Inland, Europe",,,-,false
260218,9148130,245438000,PCEM,ELISABETH S,7,1688200240,2,NL,Netherlands,181,GENK,BE,20491,1688171400.0,BEGNK,BE,Cargo,142,5.48114,50.93526,,Moored,1997,2665,BEGNK,"INLEU - Inland, Europe",2,0.0,3.1,88.6,12.6,ACTIVE,,0,"Inland, Europe",20491,GENK,-,false
130867,9100059,211219630,DCNG,SELENE PRAHM,7,1688200010,2,DE,Germany,288,BREMEN,DE,467,1688022000.0,DEBRE,DE,Cargo,314,8.772014,53.09865,,Moored,1994,2422,DEBRE,"INLEU - Inland, Europe",2,0.0,4.6,75.0,11.6,ACTIVE,,0,North Sea,467,BREMEN,-,false
290578,9361768,231075000,OZ2207,HAV SUND,7,1688200336,2,FO,Faroe Is,260,BREMEN,DE,467,1688194800.0,BREMEN,DE,Cargo,18,8.7205,53.1215,,Underway using Engine,2008,4500,DEBRE,"INLEU - Inland, Europe",2,0.6,6.6,89.9,14.4,ACTIVE,,0,North Sea,467,BREMEN,-,false
314783,7823982,352002255,3E2240,ZEINAB,7,1688200243,3,PA,Panama,115,RENI,UA,17216,-2208988800.0,,UA,Cargo,1,28.2859,45.44091,,Stopped,1979,1778,UARNI,"INLEU - Inland, Europe",2,0.0,4.9,80.2,13.3,ACTIVE,,0,"Inland, Europe",17216,RENI,-,false
258158,9421623,245215000,PHJH,FRISIAN RIVER,7,1688200236,1,NL,Netherlands,219,ROERMOND,NL,2030,1688252400.0,ROERMOND,,Cargo,86,5.041898,51.81633,,Underway using Engine,2007,2620,,"INLEU - Inland, Europe",2,7.0,3.0,87.3,11.4,ACTIVE,2023-07-01 06:33:00,57,North Sea,,,-,true
